"","MLSP 51"
"regulation of gene expression",1.6161226675084e-07
"endocytosis",7.98135940192433e-06
"response to xenobiotic stimulus",5.11062913162166e-05
"negative regulation of transcription by RNA polymerase II",0.000590948600408783
"positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction",0.00132514158721411
"positive regulation of DNA-templated transcription",0.0110826685902383
"ubiquitin-dependent protein catabolic process",0.0412649509111069
"negative regulation of gene expression",0.0412649509111069
