"Iteration","Removed_Species","Success","Error_Message"
185,"Cebus_capucinus_imitator",TRUE,NA
186,"Mustela_putorius_furo",FALSE,"non-numeric argument to binary operator"
187,"Cavia_porcellus",FALSE,"non-numeric argument to binary operator"
188,"Microtus_ochrogaster",FALSE,"non-numeric argument to binary operator"
189,"Sus_scrofa",FALSE,"non-numeric argument to binary operator"
190,"Papio_anubis",TRUE,NA
191,"Loxodonta_africana",FALSE,"non-numeric argument to binary operator"
192,"Mus_musculus",FALSE,"non-numeric argument to binary operator"
193,"Cebus_capucinus_imitator",TRUE,NA
194,"Capra_hircus",TRUE,NA
195,"Dasypus_novemcinctus",FALSE,"non-numeric argument to binary operator"
196,"Macaca_nemestrina",TRUE,NA
197,"Otolemur_garnettii",FALSE,"non-numeric argument to binary operator"
198,"Vombatus_ursinus",FALSE,"non-numeric argument to binary operator"
199,"Felis_catus",TRUE,NA
200,"Callithrix_jacchus",FALSE,"non-numeric argument to binary operator"
201,"Pan_paniscus",TRUE,NA
202,"Canis_familiaris",FALSE,"non-numeric argument to binary operator"
203,"Cavia_porcellus",FALSE,"non-numeric argument to binary operator"
204,"Bos_taurus",FALSE,"non-numeric argument to binary operator"
205,"Mustela_putorius_furo",FALSE,"non-numeric argument to binary operator"
206,"Gorilla_gorilla",FALSE,"non-numeric argument to binary operator"
207,"Capra_hircus",TRUE,NA
208,"Gorilla_gorilla",FALSE,"non-numeric argument to binary operator"
209,"Vulpes_vulpes",FALSE,"non-numeric argument to binary operator"
210,"Equus_caballus",FALSE,"non-numeric argument to binary operator"
211,"Heterocephalus_glaber",FALSE,"non-numeric argument to binary operator"
212,"Macaca_mulatta",TRUE,NA
213,"Macaca_fascicularis",TRUE,NA
214,"Canis_familiaris",FALSE,"non-numeric argument to binary operator"
215,"Vombatus_ursinus",FALSE,"non-numeric argument to binary operator"
216,"Nomascus_leucogenys",FALSE,"non-numeric argument to binary operator"
217,"Rattus_norvegicus",FALSE,"non-numeric argument to binary operator"
218,"Mus_musculus",FALSE,"non-numeric argument to binary operator"
219,"Chinchilla_lanigera",FALSE,"non-numeric argument to binary operator"
220,"Microtus_ochrogaster",FALSE,"non-numeric argument to binary operator"
221,"Bos_taurus",FALSE,"non-numeric argument to binary operator"
222,"Cebus_capucinus_imitator",TRUE,NA
223,"Nomascus_leucogenys",FALSE,"non-numeric argument to binary operator"
224,"Gorilla_gorilla",FALSE,"non-numeric argument to binary operator"
225,"Canis_familiaris",FALSE,"non-numeric argument to binary operator"
226,"Tursiops_truncatus",TRUE,NA
227,"Callithrix_jacchus",FALSE,"non-numeric argument to binary operator"
228,"Loxodonta_africana",FALSE,"non-numeric argument to binary operator"
229,"Saimiri_boliviensis_boliviensis",FALSE,"non-numeric argument to binary operator"
230,"Equus_caballus",FALSE,"non-numeric argument to binary operator"
231,"Neovison_vison",TRUE,NA
232,"Microtus_ochrogaster",FALSE,"non-numeric argument to binary operator"
233,"Otolemur_garnettii",FALSE,"non-numeric argument to binary operator"
234,"Meriones_unguiculatus",FALSE,"non-numeric argument to binary operator"
235,"Papio_anubis",TRUE,NA
236,"Macaca_mulatta",TRUE,NA
237,"Saimiri_boliviensis_boliviensis",FALSE,"non-numeric argument to binary operator"
238,"Ailuropoda_melanoleuca",TRUE,NA
239,"Mus_musculus",FALSE,"non-numeric argument to binary operator"
240,"Capra_hircus",TRUE,NA
241,"Canis_familiaris",FALSE,"non-numeric argument to binary operator"
242,"Macaca_nemestrina",TRUE,NA
243,"Nomascus_leucogenys",FALSE,"non-numeric argument to binary operator"
244,"Dasypus_novemcinctus",FALSE,"non-numeric argument to binary operator"
245,"Chinchilla_lanigera",FALSE,"non-numeric argument to binary operator"
246,"Callithrix_jacchus",FALSE,"non-numeric argument to binary operator"
247,"Oryctolagus_cuniculus",FALSE,"non-numeric argument to binary operator"
248,"Vulpes_vulpes",FALSE,"non-numeric argument to binary operator"
249,"Cavia_porcellus",FALSE,"non-numeric argument to binary operator"
250,"Vulpes_vulpes",FALSE,"non-numeric argument to binary operator"
251,"Microcebus_murinus",FALSE,"non-numeric argument to binary operator"
252,"Ailuropoda_melanoleuca",TRUE,NA
253,"Microcebus_murinus",FALSE,"non-numeric argument to binary operator"
254,"Chinchilla_lanigera",FALSE,"non-numeric argument to binary operator"
255,"Ailuropoda_melanoleuca",TRUE,NA
256,"Vulpes_vulpes",FALSE,"non-numeric argument to binary operator"
257,"Oryctolagus_cuniculus",FALSE,"non-numeric argument to binary operator"
258,"Canis_familiaris",FALSE,"non-numeric argument to binary operator"
259,"Microtus_ochrogaster",FALSE,"non-numeric argument to binary operator"
260,"Mustela_putorius_furo",FALSE,"non-numeric argument to binary operator"
261,"Homo_sapiens",FALSE,"non-numeric argument to binary operator"
262,"Colobus_angolensis_palliatus",TRUE,NA
263,"Callithrix_jacchus",FALSE,"non-numeric argument to binary operator"
264,"Microcebus_murinus",FALSE,"non-numeric argument to binary operator"
265,"Panthera_pardus",TRUE,NA
266,"Tursiops_truncatus",TRUE,NA
267,"Microtus_ochrogaster",FALSE,"non-numeric argument to binary operator"
268,"Monodelphis_domestica",FALSE,"non-numeric argument to binary operator"
269,"Microtus_ochrogaster",FALSE,"non-numeric argument to binary operator"
270,"Gorilla_gorilla",FALSE,"non-numeric argument to binary operator"
271,"Vombatus_ursinus",FALSE,"non-numeric argument to binary operator"
272,"Callithrix_jacchus",FALSE,"non-numeric argument to binary operator"
273,"Pan_paniscus",TRUE,NA
274,"Myotis_lucifugus",FALSE,"non-numeric argument to binary operator"
275,"Macaca_nemestrina",TRUE,NA
276,"Macaca_fascicularis",TRUE,NA
277,"Dasypus_novemcinctus",FALSE,"non-numeric argument to binary operator"
278,"Macaca_mulatta",TRUE,NA
279,"Gorilla_gorilla",FALSE,"non-numeric argument to binary operator"
280,"Myotis_lucifugus",FALSE,"non-numeric argument to binary operator"
281,"Neovison_vison",TRUE,NA
282,"Rattus_norvegicus",FALSE,"non-numeric argument to binary operator"
283,"Microcebus_murinus",FALSE,"non-numeric argument to binary operator"
284,"Cavia_porcellus",FALSE,"non-numeric argument to binary operator"
285,"Pan_troglodytes",FALSE,"non-numeric argument to binary operator"
286,"Microtus_ochrogaster",FALSE,"non-numeric argument to binary operator"
287,"Oryctolagus_cuniculus",FALSE,"non-numeric argument to binary operator"
288,"Peromyscus_maniculatus_bairdii",FALSE,"non-numeric argument to binary operator"
289,"Felis_catus",TRUE,NA
290,"Pan_paniscus",TRUE,NA
291,"Peromyscus_maniculatus_bairdii",FALSE,"non-numeric argument to binary operator"
292,"Tursiops_truncatus",TRUE,NA
293,"Otolemur_garnettii",FALSE,"non-numeric argument to binary operator"
294,"Ovis_aries",FALSE,"non-numeric argument to binary operator"
295,"Loxodonta_africana",FALSE,"non-numeric argument to binary operator"
296,"Saimiri_boliviensis_boliviensis",FALSE,"non-numeric argument to binary operator"
297,"Rattus_norvegicus",FALSE,"non-numeric argument to binary operator"
298,"Cavia_porcellus",FALSE,"non-numeric argument to binary operator"
299,"Mustela_putorius_furo",FALSE,"non-numeric argument to binary operator"
300,"Chinchilla_lanigera",FALSE,"non-numeric argument to binary operator"
301,"Heterocephalus_glaber",FALSE,"non-numeric argument to binary operator"
302,"Equus_asinus_asinus",FALSE,"non-numeric argument to binary operator"
303,"Callithrix_jacchus",FALSE,"non-numeric argument to binary operator"
304,"Cebus_capucinus_imitator",TRUE,NA
305,"Macaca_mulatta",TRUE,NA
306,"Nomascus_leucogenys",FALSE,"non-numeric argument to binary operator"
307,"Myotis_lucifugus",FALSE,"non-numeric argument to binary operator"
308,"Canis_familiaris",FALSE,"non-numeric argument to binary operator"
309,"Microtus_ochrogaster",FALSE,"non-numeric argument to binary operator"
310,"Bos_taurus",FALSE,"non-numeric argument to binary operator"
311,"Monodelphis_domestica",FALSE,"non-numeric argument to binary operator"
312,"Heterocephalus_glaber",FALSE,"non-numeric argument to binary operator"
313,"Canis_familiaris",FALSE,"non-numeric argument to binary operator"
314,"Ovis_aries",FALSE,"non-numeric argument to binary operator"
315,"Macaca_nemestrina",TRUE,NA
316,"Colobus_angolensis_palliatus",TRUE,NA
317,"Vulpes_vulpes",FALSE,"non-numeric argument to binary operator"
318,"Chinchilla_lanigera",FALSE,"non-numeric argument to binary operator"
319,"Macaca_nemestrina",TRUE,NA
320,"Nomascus_leucogenys",FALSE,"non-numeric argument to binary operator"
321,"Macaca_fascicularis",TRUE,NA
322,"Oryctolagus_cuniculus",FALSE,"non-numeric argument to binary operator"
323,"Nomascus_leucogenys",FALSE,"non-numeric argument to binary operator"
324,"Chinchilla_lanigera",FALSE,"non-numeric argument to binary operator"
325,"Macaca_nemestrina",TRUE,NA
326,"Mus_musculus",FALSE,"non-numeric argument to binary operator"
327,"Ovis_aries",FALSE,"non-numeric argument to binary operator"
328,"Canis_familiaris",FALSE,"non-numeric argument to binary operator"
329,"Canis_familiaris",FALSE,"non-numeric argument to binary operator"
330,"Cebus_capucinus_imitator",TRUE,NA
331,"Cavia_porcellus",FALSE,"non-numeric argument to binary operator"
332,"Peromyscus_maniculatus_bairdii",FALSE,"non-numeric argument to binary operator"
333,"Equus_caballus",FALSE,"non-numeric argument to binary operator"
334,"Saimiri_boliviensis_boliviensis",FALSE,"non-numeric argument to binary operator"
335,"Vombatus_ursinus",FALSE,"non-numeric argument to binary operator"
336,"Pan_paniscus",TRUE,NA
337,"Otolemur_garnettii",FALSE,"non-numeric argument to binary operator"
338,"Macaca_fascicularis",TRUE,NA
339,"Tursiops_truncatus",TRUE,NA
340,"Sus_scrofa",FALSE,"non-numeric argument to binary operator"
341,"Chinchilla_lanigera",FALSE,"non-numeric argument to binary operator"
342,"Chinchilla_lanigera",FALSE,"non-numeric argument to binary operator"
343,"Meriones_unguiculatus",FALSE,"non-numeric argument to binary operator"
344,"Pan_paniscus",TRUE,NA
345,"Loxodonta_africana",FALSE,"non-numeric argument to binary operator"
346,"Mus_musculus",FALSE,"non-numeric argument to binary operator"
347,"Peromyscus_maniculatus_bairdii",FALSE,"non-numeric argument to binary operator"
348,"Loxodonta_africana",FALSE,"non-numeric argument to binary operator"
349,"Colobus_angolensis_palliatus",TRUE,NA
350,"Vombatus_ursinus",FALSE,"non-numeric argument to binary operator"
351,"Phascolarctos_cinereus",FALSE,"non-numeric argument to binary operator"
352,"Pan_paniscus",TRUE,NA
353,"Rattus_norvegicus",FALSE,"non-numeric argument to binary operator"
354,"Tursiops_truncatus",TRUE,NA
355,"Loxodonta_africana",FALSE,"non-numeric argument to binary operator"
356,"Dasypus_novemcinctus",FALSE,"non-numeric argument to binary operator"
357,"Meriones_unguiculatus",FALSE,"non-numeric argument to binary operator"
358,"Tursiops_truncatus",TRUE,NA
359,"Dasypus_novemcinctus",FALSE,"non-numeric argument to binary operator"
360,"Meriones_unguiculatus",FALSE,"non-numeric argument to binary operator"
361,"Macaca_mulatta",TRUE,NA
362,"Ovis_aries",FALSE,"non-numeric argument to binary operator"
363,"Otolemur_garnettii",FALSE,"non-numeric argument to binary operator"
364,"Gorilla_gorilla",FALSE,"non-numeric argument to binary operator"
365,"Loxodonta_africana",FALSE,"non-numeric argument to binary operator"
366,"Rattus_norvegicus",FALSE,"non-numeric argument to binary operator"
367,"Macaca_mulatta",TRUE,NA
368,"Monodelphis_domestica",FALSE,"non-numeric argument to binary operator"
369,"Panthera_pardus",TRUE,NA
370,"Equus_caballus",FALSE,"non-numeric argument to binary operator"
371,"Dasypus_novemcinctus",FALSE,"non-numeric argument to binary operator"
372,"Saimiri_boliviensis_boliviensis",FALSE,"non-numeric argument to binary operator"
373,"Cavia_porcellus",FALSE,"non-numeric argument to binary operator"
374,"Phascolarctos_cinereus",FALSE,"non-numeric argument to binary operator"
375,"Vombatus_ursinus",FALSE,"non-numeric argument to binary operator"
376,"Nomascus_leucogenys",FALSE,"non-numeric argument to binary operator"
377,"Macaca_nemestrina",TRUE,NA
378,"Ailuropoda_melanoleuca",TRUE,NA
379,"Cavia_porcellus",FALSE,"non-numeric argument to binary operator"
380,"Gorilla_gorilla",FALSE,"non-numeric argument to binary operator"
381,"Phascolarctos_cinereus",FALSE,"non-numeric argument to binary operator"
382,"Chinchilla_lanigera",FALSE,"non-numeric argument to binary operator"
383,"Gorilla_gorilla",FALSE,"non-numeric argument to binary operator"
384,"Homo_sapiens",FALSE,"non-numeric argument to binary operator"
385,"Ailuropoda_melanoleuca",TRUE,NA
386,"Colobus_angolensis_palliatus",TRUE,NA
387,"Cebus_capucinus_imitator",TRUE,NA
388,"Bos_taurus",FALSE,"non-numeric argument to binary operator"
389,"Tursiops_truncatus",TRUE,NA
390,"Colobus_angolensis_palliatus",TRUE,NA
391,"Homo_sapiens",FALSE,"non-numeric argument to binary operator"
392,"Monodelphis_domestica",FALSE,"non-numeric argument to binary operator"
393,"Canis_familiaris",FALSE,"non-numeric argument to binary operator"
394,"Equus_asinus_asinus",FALSE,"non-numeric argument to binary operator"
395,"Ovis_aries",FALSE,"non-numeric argument to binary operator"
396,"Macaca_nemestrina",TRUE,NA
397,"Capra_hircus",TRUE,NA
398,"Octodon_degus",FALSE,"non-numeric argument to binary operator"
399,"Mus_musculus",FALSE,"non-numeric argument to binary operator"
400,"Macaca_mulatta",TRUE,NA
401,"Pan_paniscus",TRUE,NA
402,"Oryctolagus_cuniculus",FALSE,"non-numeric argument to binary operator"
403,"Papio_anubis",TRUE,NA
404,"Macaca_mulatta",TRUE,NA
405,"Bos_taurus",FALSE,"non-numeric argument to binary operator"
406,"Ailuropoda_melanoleuca",TRUE,NA
407,"Cavia_porcellus",FALSE,"non-numeric argument to binary operator"
408,"Mustela_putorius_furo",FALSE,"non-numeric argument to binary operator"
409,"Papio_anubis",TRUE,NA
410,"Pan_paniscus",TRUE,NA
411,"Heterocephalus_glaber",FALSE,"non-numeric argument to binary operator"
412,"Macaca_mulatta",TRUE,NA
413,"Colobus_angolensis_palliatus",TRUE,NA
414,"Saimiri_boliviensis_boliviensis",FALSE,"non-numeric argument to binary operator"
415,"Macaca_mulatta",TRUE,NA
416,"Loxodonta_africana",FALSE,"non-numeric argument to binary operator"
417,"Mustela_putorius_furo",FALSE,"non-numeric argument to binary operator"
418,"Equus_caballus",FALSE,"non-numeric argument to binary operator"
419,"Colobus_angolensis_palliatus",TRUE,NA
420,"Bos_taurus",FALSE,"non-numeric argument to binary operator"
421,"Mus_musculus",FALSE,"non-numeric argument to binary operator"
422,"Ailuropoda_melanoleuca",TRUE,NA
423,"Microtus_ochrogaster",FALSE,"non-numeric argument to binary operator"
424,"Colobus_angolensis_palliatus",TRUE,NA
425,"Bos_taurus",FALSE,"non-numeric argument to binary operator"
426,"Peromyscus_maniculatus_bairdii",FALSE,"non-numeric argument to binary operator"
427,"Microcebus_murinus",FALSE,"non-numeric argument to binary operator"
428,"Phascolarctos_cinereus",FALSE,"non-numeric argument to binary operator"
429,"Peromyscus_maniculatus_bairdii",FALSE,"non-numeric argument to binary operator"
430,"Neovison_vison",TRUE,NA
431,"Ictidomys_tridecemlineatus",FALSE,"non-numeric argument to binary operator"
432,"Meriones_unguiculatus",FALSE,"non-numeric argument to binary operator"
433,"Bos_taurus",FALSE,"non-numeric argument to binary operator"
434,"Homo_sapiens",FALSE,"non-numeric argument to binary operator"
435,"Oryctolagus_cuniculus",FALSE,"non-numeric argument to binary operator"
436,"Myotis_lucifugus",FALSE,"non-numeric argument to binary operator"
437,"Colobus_angolensis_palliatus",TRUE,NA
438,"Monodelphis_domestica",FALSE,"non-numeric argument to binary operator"
439,"Panthera_pardus",TRUE,NA
440,"Peromyscus_maniculatus_bairdii",FALSE,"non-numeric argument to binary operator"
441,"Vombatus_ursinus",FALSE,"non-numeric argument to binary operator"
442,"Macaca_mulatta",TRUE,NA
443,"Homo_sapiens",FALSE,"non-numeric argument to binary operator"
444,"Canis_familiaris",FALSE,"non-numeric argument to binary operator"
445,"Microtus_ochrogaster",FALSE,"non-numeric argument to binary operator"
446,"Bos_taurus",FALSE,"non-numeric argument to binary operator"
447,"Macaca_mulatta",TRUE,NA
448,"Loxodonta_africana",FALSE,"non-numeric argument to binary operator"
449,"Octodon_degus",FALSE,"non-numeric argument to binary operator"
450,"Peromyscus_maniculatus_bairdii",FALSE,"non-numeric argument to binary operator"
