2024-12-17 03:32:24 - Starting parallel bootstrap analysis with 32 cores 
2024-12-17 03:32:52 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:32:56 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:32:57 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:32:59 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:32:59 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:00 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:00 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:00 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:01 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:02 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:02 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:04 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:04 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:06 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:06 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:07 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:07 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:08 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:08 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:08 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:09 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:10 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:11 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:11 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:12 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:12 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:12 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:12 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:12 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
