"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"PTHR10000_SF7",1.49458955923421,0.226914585536306,0.0504993396367376,0.82306080393576,0.95029126280091,-7.56788684519168e-05,0.76526372398548,0.000336768746464634,1.24178271230709,-0.224720581248665,0.219784084450831,0.82306080393576
"PTHR10003_SF27",106.405806951707,2.80946008008842e-14,8.76584845986676e-05,0.992564980040362,1.02641200955895,-4.13813659808819e-07,0.100435486977253,4.41985318129839e-05,10.2196150031255,-0.00936261099259537,3.91451040136849e-14,0.992564980040362
"PTHR10003_SF33",9.3057968150888,0.00356317823718741,0.0144146008998626,0.904888942055261,1.40143172116758,-2.43705610821578e-05,0.461257630051772,0.00020298512656629,3.03828409518187,-0.120060821669113,0.00368863113449952,0.904888942055261
"PTHR10005_SF15",20.7766927396773,3.07681931888998e-05,0.115923095989631,0.734844866083247,0.885301679925724,2.96834677132231e-05,0.198111185093996,8.71825664455436e-05,4.46871124164788,0.340474809625662,4.17134998942168e-05,0.734844866083247
"PTHR10005_SF7",7.75693133621093,0.00740485967699193,0.294145329017215,0.589849563725393,0.946309702263547,8.41263349144119e-05,0.352476637649532,0.000155113997565569,2.68474446582886,0.542351665450761,0.00966673089922957,0.589849563725393
"PTHR10010",50.8625728808642,2.76723108059128e-09,0.206646636271412,0.6512649885147,3.73728501506373,0.000106766344058579,0.533702881932646,0.000234866027095818,7.00255730591197,0.454584025534787,4.46760323796387e-09,0.6512649885147
"PTHR10014_SF9",12.6038338139682,0.000816709381352579,0.396224149180975,0.531749882489391,0.983459364110887,-7.56123254121965e-05,0.272961546748634,0.000120121880928632,3.6029227406765,-0.629463381922233,0.000694468081504637,0.531749882489391
"PTHR10015_SF142",21.3150741148436,2.51691413198253e-05,8.57816414436294,0.00500645983847794,1.02343061698927,0.000316122459025827,0.24526609801492,0.000107933975948302,4.17273575627651,2.92885031102017,0.000112310445180012,0.00500645983847794
"PTHR10019",16.0831309076711,0.00019105909681277,8.11809546954337,0.00622745675262058,0.940452241706119,0.000329118141496381,0.262484758853884,0.000115511372661082,3.5828832341067,2.8492271705751,0.00073870527136262,0.00622745675262058
"PTHR10024_SF10",28.1635310167587,2.23376317704815e-06,0.00205544201828997,0.964009102460165,1.29047484337379,4.90336828684942e-06,0.245765685393721,0.000108153828804298,5.25083410772512,0.0453369828979606,2.72945962293663e-06,0.964009102460165
"PTHR10024_SF173",3.70231056730822,0.059713985278927,27.1097472793107,3.19435930846647e-06,0.705474526867217,0.00135410826515157,0.590976213186923,0.000260070237576233,1.19374436927477,5.20670215004764,0.23789388396947,3.19435930846647e-06
"PTHR10024_SF176",15.751900260054,0.000218536401373225,0.016736517275747,0.897554850294097,0.739844176322903,1.07619011519956e-05,0.189032204938527,8.31871898579652e-05,3.91385254466825,0.129369692261159,0.000260881039203161,0.897554850294097
"PTHR10024_SF177",127.626097072948,9.96735118174103e-16,0.026762463045425,0.870674291852014,1.01287991885026,6.52895793253523e-06,0.0906901617573847,3.99099175022294e-05,11.1685755017168,0.163592368542744,1.53300077502441e-15,0.870674291852014
"PTHR10024_SF185",8.25369901643619,0.00583791781484902,22.6637327526379,1.53264396555568e-05,0.663640657636638,0.000633515761965589,0.302392524662755,0.000133073538283757,2.19463314569951,4.76064415312023,0.032593313753744,1.53264396555568e-05
"PTHR10024_SF188",9.58483370959744,0.00313243676521094,19.7177096441178,4.59010569893898e-05,0.779945778547006,0.000619715871150269,0.317134676441951,0.000139561100439474,2.45935192990404,4.44046277364396,0.0172162403991948,4.59010569893898e-05
"PTHR10024_SF20",4.33677606184957,0.0421396410180306,0.917790761605902,0.342405637734801,0.808690919642258,-0.000155397315919248,0.368596340201201,0.000162207776940653,2.19397436013833,-0.958013967333411,0.0326433167683715,0.342405637734801
"PTHR10024_SF211",43.7451324363405,1.88423633689621e-08,0.00556145154839313,0.940833521116409,1.00148742203754,5.02429028029175e-06,0.153094641616247,6.7372186779017e-05,6.54162295600073,0.0745751402840996,2.46275172223711e-08,0.940833521116409
"PTHR10024_SF36",4.59071763676897,0.036757046546923,6.33315210533249,0.0149122568409525,0.648585068580705,0.00040394673245299,0.364748476462503,0.000160514451872141,1.77817074075533,2.51657547181333,0.0811124045934952,0.0149122568409525
"PTHR10024_SF37",51.4104207245591,2.40101937846071e-09,0.431266650955595,0.514209573981779,0.681525158817175,2.80854153495332e-05,0.0971823192549586,4.27669139516658e-05,7.01285135034891,0.656708954526733,4.30036027593066e-09,0.514209573981779
"PTHR10024_SF5",32.9968360662977,4.60667418436009e-07,15.7235431769911,0.000221072901346296,0.89662912417411,0.000303939020934008,0.17417691649112,7.66498397758926e-05,5.14780685200511,3.96529231923589,3.93826221364384e-06,0.000221072901346296
"PTHR10024_SF9",14.0496843888519,0.000441502678334721,0.113659360548433,0.737347338002267,1.10180320773455,-4.3484572704022e-05,0.293097388690777,0.000128983038249078,3.7591710136216,-0.337134039438965,0.000426638307644184,0.737347338002267
"PTHR10025_SF15",14.862420005731,0.000314729443114158,0.179755765061689,0.673299120685033,0.961471062549343,-4.62710753043457e-05,0.247997626774623,0.000109136036737943,3.87693654594168,-0.423976137372953,0.000293619232096833,0.673299120685033
"PTHR10025_SF29",4.51067189601754,0.0383687557466473,3.41103609273029,0.0703477346576907,1.43655409272034,-0.000495464560096926,0.609605370671778,0.000268268349961848,2.35653122796027,-1.84689904779072,0.0221751839226737,0.0703477346576907
"PTHR10025_SF30",8.91220617742217,0.00427957739250718,3.05377085077099,0.0863418399129832,1.34563758846902,-0.000323754044868857,0.420994407656779,0.000185266535563477,3.19633126710336,-1.74750417761188,0.00234712770990927,0.0863418399129832
