"","F_value Intercept","p_value Intercept","F_value Brain.mass..g.","p_value Brain.mass..g.","Coefficient Intercept","Coefficient Brain.mass..g.","Coef SE Intercept","Coef SE Brain.mass..g.","Coef tval Intercept","Coef tval Brain.mass..g.","Coef pval Intercept","Coef pval Brain.mass..g.","R t value Brain.mass..g.","p.adjusted GFS vs.Brain.mass..g."
"PTHR10024_SF185",8.00596051681446,0.0063622530738072,24.604806231008,6.2935993921158e-06,0.630303540711944,0.000639448528433547,0.293736613117557,0.000128912674210483,2.14581197087504,4.96032319824102,0.0360129650145609,6.2935993921158e-06,0.542493266801591,0.00106429116339852
"PTHR10024_SF188",10.1419011433021,0.00231560589376961,21.2087548236335,2.2445508522781e-05,0.773490493853056,0.000614283589986313,0.303930156173476,0.000133386331345259,2.54496132792945,4.60529638825054,0.0135644111613205,2.2445508522781e-05,0.514217317726839,0.00121456884579916
"PTHR10024_SF20",5.05192083037885,0.0283506617471548,1.18181006345114,0.281409145306829,0.843062233961008,-0.000169566400392164,0.355409002579681,0.000155978937983774,2.37209026175975,-1.08711087909704,0.0209683838269695,0.281409145306829,-0.140133257963039,0.999797905066956
"PTHR10024_SF211",48.8475321540638,2.82272001035319e-09,0.00667221935695146,0.9351747532691,1.00088321381112,5.18773358933992e-06,0.144712142259784,6.3510057705917e-05,6.91637341678185,0.0816836541601284,3.74717009997992e-09,0.9351747532691,0.0106337047223746,0.999797905066956
"PTHR10024_SF36",3.97890006306119,0.0506998313348065,5.04926499927507,0.0283906069799492,0.640959942005699,0.000376538639757827,0.381819348797145,0.00016756969039827,1.67869947928236,2.24705696395865,0.0985000487260034,0.0283906069799492,0.280774076168511,0.25515274890923
"PTHR10024_SF37",43.3948040184508,1.34530905105104e-08,0.106543051504611,0.745269737653317,0.713923898241165,1.57684114155362e-05,0.11007478411182,4.83087029308032e-05,6.48580784420093,0.326409331215593,1.99457013294998e-08,0.745269737653317,0.0424565583226197,0.999797905066956
"PTHR10024_SF5",15.4023724229961,0.000229605059096696,5.4718292513841,0.022731122828022,0.912020489328764,0.000261587399268454,0.254807975347365,0.000111827998435597,3.57924624645464,2.33919414572286,0.000696975953628763,0.022731122828022,0.291327359190785,0.217420801536755
"PTHR10024_SF9",15.6700851215647,0.000205290932012844,0.128339191160525,0.721438893012792,1.10087490938399,-4.35861339588169e-05,0.277224217115641,0.000121665851611022,3.97106328169292,-0.358244596833679,0.000196970340381951,0.721438893012792,-0.0465888304958644,0.999797905066956
"PTHR10025_SF15",16.6860234336582,0.000134840261559406,0.201994776396696,0.654762275800246,0.963530563993708,-4.62598860436067e-05,0.234529217523283,0.000102928226381226,4.10836046002693,-0.449438289864911,0.000124608411272623,0.654762275800246,-0.0584119761504061,0.999797905066956
"PTHR10025_SF29",3.22505811503789,0.0776401504158153,3.25139308171037,0.0764698450438636,1.43881117229424,-0.000563847689031615,0.712507649789373,0.00031269941310658,2.01936242048709,-1.80316196768631,0.0479998556844477,0.0764698450438636,-0.228538936107396,0.465512258714743
"PTHR10025_SF30",6.86050537812779,0.0111841065357396,3.0452084124697,0.0861823710299128,1.33925729430758,-0.000362715611707854,0.473609279980892,0.000207853689620925,2.82776827000014,-1.7450525529249,0.00639223014405873,0.0861823710299128,-0.221541140213134,0.498414937989137
"PTHR10026_SF45",5.3280910239608,0.0245076220672589,0.0706588783274578,0.79130653821556,1.16768357212204,6.04748413919934e-05,0.518386680130887,0.000227505221434627,2.25253390350849,0.265817377775528,0.0280222482841699,0.79130653821556,0.0345857710294199,0.999797905066956
"PTHR10026_SF60",2.5587326200038,0.115028362547899,2.71830967125264,0.104518390264062,1.41444548258374,-0.000567219869510965,0.783906807370321,0.000344034479724414,1.80435412638987,-1.64872971443249,0.0762805792279623,0.104518390264062,-0.20986617807281,0.568350881140767
"PTHR10026_SF66",30.7584573042277,7.22588689616324e-07,0.546622228805956,0.462632645424105,1.18007665988982,-6.84359158291902e-05,0.210912784098771,9.25636431045432e-05,5.59509308519294,-0.739339048614339,6.00910139160617e-07,0.462632645424105,-0.0958109350689158,0.999797905066956
"PTHR10027_SF14",4.64268457570313,0.0352794839859239,0.43616049476477,0.511551805886521,0.975330445997081,-0.000127149407499842,0.438685866592624,0.000192526793308418,2.22330036199411,-0.660424480743082,0.0300383582297329,0.511551805886521,-0.0856638896431275,0.999797905066956
"PTHR10027_SF23",13.7556263776597,0.000462263140990855,0.409608999512243,0.524645687873783,0.857380482520625,6.70618415652838e-05,0.238755396002123,0.000104782976334307,3.59104127855189,0.640007030830321,0.000671625422636456,0.524645687873783,0.0830340837827445,0.999797905066956
"PTHR10027_SF9",44.0846163833065,1.09893641588833e-08,21.3364799303366,2.13739358061673e-05,0.890369071953981,0.000302464894278871,0.149202484461581,6.54807416298927e-05,5.96752175519737,4.61914277007504,1.46405511060276e-07,2.13739358061673e-05,0.51535321121652,0.00118136796620087
"PTHR10029_SF5",17.6736331017352,9.01944567831967e-05,0.00980103991014786,0.921473712520978,2.20637612894464,-2.29342595146841e-05,0.527850708739132,0.000231658715354723,4.17992453626704,-0.0990002015661981,9.78713587255162e-05,0.921473712520978,-0.0128876580287397,0.999797905066956
"PTHR10030",99.4251111778995,2.86439856435194e-14,0.38581033564316,0.536902375839283,2.24844334871196,-6.15051711497097e-05,0.225624973220209,9.90204059268746e-05,9.96540106629727,-0.621136326133933,2.92751179224657e-14,0.536902375839283,-0.0806019568158503,0.999797905066956
"PTHR10031_SF3",14.946908883778,0.000278090100331308,0.00917576453322186,0.924011813609254,2.22912840590878,2.45371627440324e-05,0.583667724695554,0.000256155221653418,3.81917366952491,0.0957902110511396,0.000324008241024564,0.924011813609254,0.0124698536323175,0.999797905066956
"PTHR10032_SF11",25.9910089870778,3.80770758302889e-06,3.98743917857549,0.0504603928752446,1.05381534046895,0.00019288899496449,0.220101437879169,9.65962828175619e-05,4.78786213585517,1.99685732554319,1.17232969889546e-05,0.0504603928752446,0.251605459136298,0.36186520104222
"PTHR10032_SF188",3.36195223759944,0.071764483798808,0.0397061720208165,0.842741318247266,0.896663211052004,-4.25290224067065e-05,0.486316332696688,0.000213430454905786,1.84378592855372,-0.199264076092045,0.070237832929297,0.842741318247266,-0.025933248175665,0.999797905066956
"PTHR10032_SF189",4.19887922078308,0.0449059671003557,0.443541539523039,0.508013713598502,0.92075322023471,-0.00012697980516073,0.43444016694513,0.000190663476067697,2.11940168126996,-0.665989143697582,0.0382745626955119,0.508013713598502,-0.0863803206367417,0.999797905066956
"PTHR10032_SF190",32.4930418171121,4.04156998855245e-07,8.40260573716559,0.005253394185256,1.11590306532403,-0.000235243021577988,0.184915033818568,8.11539673528316e-05,6.03468004888621,-2.89872484674996,1.13261971241586e-07,0.005253394185256,-0.35307636757595,0.0750014099732674
"PTHR10032_SF198",4.83305817547632,0.0318537322320949,0.078718530645262,0.78002307588307,0.87470556291876,-4.8598967596646e-05,0.394685361704943,0.000173216218806041,2.21620979085783,-0.280568228146492,0.0305462267327705,0.78002307588307,-0.0365025291319654,0.999797905066956
"PTHR10032_SF206",49.8116804506884,2.16014161898321e-09,0.00313612025765411,0.955530169106894,1.10900275996812,3.90054407030276e-06,0.158705252578917,6.96512372225468e-05,6.98781383695327,0.0560010737187611,2.83691252604019e-09,0.955530169106894,0.00729052504137651,0.999797905066956
"PTHR10032_SF208",4.99221309195833,0.0292634109878226,0.85093017568557,0.360046333878305,0.913104647688865,-0.000158176437927424,0.390712489489571,0.000171472637792614,2.33702446748439,-0.922458766387728,0.0228518990970111,0.360046333878305,-0.119237128924991,0.999797905066956
"PTHR10032_SF209",97.2295123227888,4.34068854021082e-14,0.000290668874004637,0.986455038112124,1.10613313723972,-8.46655930542471e-07,0.113154063868569,4.96601115409578e-05,9.77546099028771,-0.0170490138719117,5.97848237838144e-14,0.986455038112124,-0.00221958708178891,0.999797905066956
"PTHR10032_SF212",22.4827838400271,1.38331242420711e-05,0.565737326388817,0.454948103519361,1.04696544183009,-7.20082740716717e-05,0.218141075580975,9.57359353668323e-05,4.79948784996912,-0.752155121227541,1.12446890627207e-05,0.454948103519361,-0.0974561287360833,0.999797905066956
"PTHR10032_SF213",8.48675986816845,0.00504541644994102,0.70338469771304,0.405033871102151,0.731362653534869,9.6970349121872e-05,0.263454102989493,0.000115622538803181,2.77605338173092,0.838680331063654,0.0073613310739592,0.405033871102151,0.108541790538111,0.999797905066956
"PTHR10032_SF26",4.2948342082068,0.042606856316633,4.83256185658177,0.0318621844819564,1.4591840776447,-0.000600095814923,0.622005682757247,0.000272980664845698,2.34593367568023,-2.19830886287204,0.0223595828344947,0.0318621844819564,-0.275148768570261,0.275474394995954
"PTHR10032_SF47",14.8539034295474,0.000289237314021646,0.000337567388814418,0.985403278786238,0.745295446856589,1.57422126452263e-06,0.195230648872215,8.5681198427561e-05,3.8175125225569,0.0183730070705483,0.000325759379985481,0.985403278786238,0.00239195493920488,0.999797905066956
