2024-12-17 03:33:46 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:46 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:46 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:47 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:49 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:49 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:50 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:50 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:50 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:50 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:51 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:52 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:54 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:54 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:57 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:57 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:58 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:33:58 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:04 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:06 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:07 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:07 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:07 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:08 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:10 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:11 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:12 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:14 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:14 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:14 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:15 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:16 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:17 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:19 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:19 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:21 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:25 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:26 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:26 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:27 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:27 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:29 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:30 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:33 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:33 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:35 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:35 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:35 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:35 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:36 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:36 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:36 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:36 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
2024-12-17 03:34:36 - PGLS model fitting failed: computed "gls" fit is singular, rank 2 
