"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.28736621494225,0.262968131047089,0.0121991093536685,0.912578936047922,0.48771140853329,0.488798910039434,-0.669596266730317,0.702930025241981,-0.76823927063835,2.62066298530069,1.314946199793,1.10005663843232,-0.255506438823338,0.53456941839342,-0.698363378573998,0.799579142545014,0.595766394880673,0.488798910039434,-0.107139542633698,0.773993986188016,0.0822066625313031,0.981645378281978
"PTHR10003_SF33",9.67605971439105,0.00334983604885382,0.144402420483258,0.705857972026554,0.0241170596405579,0.877331394032159,1.5016842381577,-0.134918823225494,-0.0920393076749692,1.41191090661298,0.708441677358224,0.592667570918662,1.06358285860973,-0.190444503108013,-0.155296682645052,0.293594723237694,0.849878378525503,0.877331394032159,-0.0239559214240389,0.959450725996036,-0.0293735447829387,0.943540864927421
"PTHR10010",61.5473770492463,9.21521767946611e-10,2.07079190618023,0.157554939089251,0.146553184469271,0.703781928134536,5.19030804724863,-0.989856699178575,0.235350777856652,1.46458349871906,0.734870724210725,0.614777561762477,3.54387991656887,-1.34698072268658,0.382822654070094,0.000982295866442866,0.185209700746024,0.703781928134536,0.0589680271719647,0.889200432561791,-0.20349472633181,0.58443697585035
"PTHR10015_SF142",20.4874806184206,4.87639167744011e-05,5.77822635757654,0.0207169622504721,0.226629880385699,0.636501181159276,0.608154326155125,0.640605955207701,0.166637166656417,0.833891249174825,0.418414017862454,0.350036463876004,0.729296927815135,1.53103368400599,0.476056593679469,0.469867804855905,0.133259202204004,0.636501181159276,0.0732597401602936,0.855781132518873,0.229914837229635,0.189580237855104
"PTHR10024_SF10",57.9757307129176,1.94810931331033e-09,4.78079211728981,0.0344015249857368,1.20497442137305,0.278583267980191,2.19230807283089,-0.59385956837034,0.229212668190797,0.49744587188833,0.249598884904777,0.208809235182419,4.40712888923729,-2.37925569497997,1.09771326919786,7.10841659020764e-05,0.0219676969116292,0.278583267980191,0.167002140578629,0.601367639021958,-0.344635642784098,0.258699467892741
"PTHR10024_SF173",3.40707607008984,0.0719739329119072,19.7616449070135,6.29994613090266e-05,11.0070880703082,0.0018808483664802,2.35886220687559,1.21837026746096,2.68286600467961,1.92645509522084,0.966619828929225,0.808654042135944,1.22445740506875,1.26044410739081,3.31769318507727,0.227603571358558,0.214467071423129,0.0018808483664802,0.455689736600488,0.0310706557570858,0.190913455131551,0.00248157878070604
"PTHR10024_SF185",7.98655013747401,0.00718436616638993,19.9098169434573,5.97736729243451e-05,20.2362305417836,5.32646871638975e-05,2.28747163726169,0.234793022857622,1.72543239869431,0.913753951075634,0.458485998486708,0.383559849325372,2.50337810804426,0.512105110368881,4.49846980003018,0.0162751854319283,0.611259934213712,5.32646871638975e-05,0.570220949323667,0.0165030294431862,0.0787739809937771,0.00246477842564173
"PTHR10024_SF188",9.64752818602051,0.00339228242886706,20.7868699022114,4.39173481459742e-05,14.5801229871553,0.000436030883763409,1.90821644790202,0.492780274422643,1.53607736891224,0.958359882357768,0.480867510400549,0.402283756632643,1.99112721956538,1.02477348492971,3.81839272301257,0.0529981024585649,0.311336372517063,0.000436030883763411,0.507631601267513,0.0165030294431862,0.156185420600376,0.00236667484144548
"PTHR10025_SF29",8.17914094558431,0.00657356795281392,1.97030650568505,0.167766314946586,9.51636368055793,0.0035948855354716,-1.38500293463996,0.678769721135101,-1.91423000855541,1.47827330127806,0.741739731767915,0.620524030601976,-0.936905870817349,0.915104978288372,-3.08486039887673,0.354163425285077,0.365360755606815,0.0035948855354716,-0.429796540228025,0.0458902672058967,0.139816774633468,0.601893486119651
"PTHR10025_SF30",7.1287196100963,0.0107412975513131,1.90957689801042,0.174316585191148,4.1440712538656,0.0481209979678153,-0.219511821516611,0.18900708881259,-1.2595819912213,1.47403896591339,0.739615107874016,0.618746614446834,-0.148918601606024,0.25554790160504,-2.03569920515424,0.882330613870031,0.799547336556106,0.0481209979678154,-0.299678545659972,0.216246145154866,0.039401277170384,0.614117032666601
