"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","Coefficient Intercept","Coefficient log10MLSP","Coef SE Intercept","Coef SE log10MLSP","Coef tval Intercept","Coef tval log10MLSP","Coef pval Intercept","Coef pval log10MLSP","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.31625029455657,0.257466354077545,0.0196078740182913,0.889276818369879,0.79552830154812,0.138996020701357,1.48224761896649,0.992629352029021,0.536704050908046,0.140028118670113,0.594175613715608,0.889276818369879,0.0211053310719734,0.982773275746658
"PTHR10003_SF33",10.1304672651553,0.00267639388974486,0.153859957553309,0.696767259418816,1.68350543708973,-0.207483170309961,0.789866544761386,0.528956637530361,2.13137959602822,-0.392249866224718,0.0386812348652679,0.696767259418816,-0.0590307724463553,0.948385628829038
"PTHR10010",64.2485212951838,3.83221746577445e-10,2.1578757935622,0.148954536501323,4.7289735306087,-0.807162741539492,0.820505569561849,0.549474933492064,5.76348742292387,-1.46897099820323,7.50502296456922e-07,0.148954536501323,-0.216217237627392,0.624160089753579
"PTHR10015_SF142",21.3422510062018,3.34726496112209e-05,6.00739830037027,0.0182891615869411,0.284472014797568,0.767606863176045,0.467658986025712,0.313181165096375,0.608289423058211,2.45099944927988,0.546122974227255,0.0182891615869411,0.346598024839584,0.202798853414446
"PTHR10024_SF10",59.0316212563225,1.15481430460306e-09,4.85964959222555,0.0327669149056719,1.74381195801154,-0.416571604435699,0.282176494284422,0.188967529510803,6.17986258009802,-2.20446129297512,1.8354607469178e-07,0.0327669149056719,-0.315375029149394,0.301164355666354
"PTHR10024_SF173",2.82631881437972,0.0998168927865605,16.3641457113681,0.000207710403927237,-2.87346836193505,3.27981147953036,1.21069810005669,0.810778479374444,-2.37339792785708,4.04526213135417,0.0220574190483665,0.000207710403927237,0.520663507344456,0.0110164034181659
"PTHR10024_SF185",5.64289677944695,0.0219479048951867,14.0393710404935,0.000517777338826183,-1.0785637986863,1.56133567262568,0.622237390707279,0.416698998225856,-1.73336384922212,3.74691486966191,0.0900346212398043,0.000517777338826183,0.491827125241104,0.0138521757253144
"PTHR10024_SF188",7.50092250067017,0.00886997036700246,16.1660641968196,0.000224153438274725,-1.09003588083282,1.67502947188054,0.622091047538998,0.416600995353431,-1.75221277519587,4.02070444037106,0.0867041853804789,0.000224153438274725,0.518353873417352,0.0110164034181659
"PTHR10025_SF29",2.90536922868541,0.0953377766581576,1.08005032608409,0.304363702872986,2.59997448415707,-0.99219159370341,1.42563121278094,0.954714562443897,1.8237356623845,-1.03925469740776,0.0749889126483458,0.304363702872986,-0.154785330948132,0.784740339390818
"PTHR10025_SF30",5.53593929101686,0.0231654059350924,1.77685206663209,0.189397657013553,2.33428806200347,-0.856155379549955,0.959092737118554,0.642283779039254,2.43385021245858,-1.33298614645168,0.0190678368574943,0.189397657013553,-0.197016533651949,0.692004160254465
